Unnamed: 0,Impact Rating,CVE-Id,Advisory,Versions Affected,Fixed in OpenSSL
48,moderate,CVE-2015-1787,"Empty CKE with client auth and DHE.
If client auth is used then a server can seg fault in the event of a DHE
ciphersuite being selected and a zero length ClientKeyExchange message being
sent by the client. This could be exploited in a DoS attack. Reported by Matt Caswell (OpenSSL development team). ", 1.0.2, 1.0.2a 
49,moderate,CVE-2015-0293,"DoS via reachable assert in SSLv2 servers.
A malicious client can trigger an OPENSSL_assert in
servers that both support SSLv2 and enable export cipher suites by sending
a specially crafted SSLv2 CLIENT-MASTER-KEY message. Reported by Sean Burford (Google) and Emilia Käsper (OpenSSL development team). ", 1.0.2, 1.0.2a 
50,high,CVE-2015-0291,"ClientHello sigalgs DoS.  If a client connects to an OpenSSL 1.0.2 server and renegotiates with an
invalid signature algorithms extension a NULL pointer dereference will occur.
This can be exploited in a DoS attack against the server. Reported by  David Ramos (Stanford University). ", 1.0.2, 1.0.2a 
51,moderate,CVE-2015-0290,"Multiblock corrupted pointer.
OpenSSL 1.0.2 introduced the ""multiblock"" performance improvement. This feature
only applies on 64 bit x86 architecture platforms that support AES NI
instructions. A defect in the implementation of ""multiblock"" can cause OpenSSL's
internal write buffer to become incorrectly set to NULL when using non-blocking
IO. Typically, when the user application is using a socket BIO for writing, this
will only result in a failed connection. However if some other BIO is used then
it is likely that a segmentation fault will be triggered, thus enabling a
potential DoS attack. Reported by Daniel Danner and Rainer Mueller. ", 1.0.2, 1.0.2a 
52,moderate,CVE-2015-0289,"PKCS#7 NULL pointer dereference.
The PKCS#7 parsing code does not handle missing outer ContentInfo correctly.
An attacker can craft malformed ASN.1-encoded PKCS#7 blobs with
missing content and trigger a NULL pointer dereference on parsing.
Applications that verify PKCS#7 signatures, decrypt PKCS#7 data or
otherwise parse PKCS#7 structures from untrusted sources are
affected. OpenSSL clients and servers are not affected. Reported by Michal Zalewski (Google). ", 1.0.2, 1.0.2a 
53,moderate,CVE-2015-0287,"ASN.1 structure reuse memory corruption.
Reusing a structure in ASN.1 parsing may allow an attacker to cause
memory corruption via an invalid write. Such reuse is and has been
strongly discouraged and is believed to be rare. Reported by Emilia Käsper (OpenSSL development team). ", 1.0.2, 1.0.2a 
54,moderate,CVE-2015-0286,"Segmentation fault in ASN1_TYPE_cmp.
The function ASN1_TYPE_cmp will crash with an invalid read if an attempt is
made to compare ASN.1 boolean types. Since ASN1_TYPE_cmp is used to check
certificate signature algorithm consistency this can be used to crash any
certificate verification operation and exploited in a DoS attack. Any
application which performs certificate verification is vulnerable including
OpenSSL clients and servers which enable client authentication. Reported by Stephen Henson (OpenSSL development team). ", 1.0.2, 1.0.2a 
55,low,CVE-2015-0209,"Use After Free following d2i_ECPrivatekey error.
A malformed EC private key file consumed via the d2i_ECPrivateKey function could
cause a use after free condition. This, in turn, could cause a double
free in several private key parsing functions (such as d2i_PrivateKey
or EVP_PKCS82PKEY) and could lead to a DoS attack or memory corruption
for applications that receive EC private keys from untrusted
sources. This scenario is considered rare. Reported by The BoringSSL project. ", 1.0.2, 1.0.2a 
56,moderate,CVE-2015-0208,"Segmentation fault for invalid PSS parameters.
The signature verification routines will crash with a NULL pointer
dereference if presented with an ASN.1 signature using the RSA PSS
algorithm and invalid parameters. Since these routines are used to verify
certificate signature algorithms this can be used to crash any
certificate verification operation and exploited in a DoS attack. Any
application which performs certificate verification is vulnerable including
OpenSSL clients and servers which enable client authentication. Reported by Brian Carpenter. ", 1.0.2, 1.0.2a 
57,moderate,CVE-2015-0207,"Segmentation fault in DTLSv1_listen. 
A defect in the implementation of DTLSv1_listen means that state is preserved in
the SSL object from one invocation to the next that can lead to a segmentation
fault. Errors processing the initial ClientHello can trigger this scenario. An
example of such an error could be that a DTLS1.0 only client is attempting to
connect to a DTLS1.2 only server. Reported by Per Allansson. ", 1.0.2, 1.0.2a 
58,low,CVE-2015-0285,"Under certain conditions an OpenSSL 1.0.2 client can complete a handshake with
an unseeded PRNG. If the handshake succeeds then the client random that has been used will have
been generated from a PRNG with insufficient entropy and therefore the output
may be predictable. Reported by Matt Caswell (OpenSSL development team). ", 1.0.2, 1.0.2a 
59,low,CVE-2015-0288,"X509_to_X509_REQ NULL pointer deref.
The function X509_to_X509_REQ will crash with a NULL pointer dereference if
the certificate key is invalid. This function is rarely used in practice. Reported by Brian Carpenter. ", 1.0.2, 1.0.2a 
